layer,analysis,dependent_variable,core_variable,sample_group,observations,firms,coefficient,coefficient_scaled_millions,standard_error,t_statistic,p_value,significance,covariance,covariance_label,ci_lower,ci_upper,within_r_squared
reproduced_sensitivity,Fixed age bands,REM_w,OldAge,Full sample,12529,2944,-0.026285947670895298,,0.012753857974672123,-2.061019318475754,0.03932816170031761,**,cluster_firm,firm clustered,-0.051286212855690655,-0.0012856824860999413,0.004874425156595974
reproduced_sensitivity,Baseline,AEM_w,CEO_age_w,Full sample,12529,2944,4727401.704767835,4.727401704767836,2137375.258037607,2.2117789971557054,0.027005480499073586,**,cluster_year,year clustered,537693.1750164665,8917110.234519204,0.047993166308007984
reproduced_sensitivity,Baseline,REM,CEO_age_w,Full sample,12529,2944,-0.0020135102360512957,,0.0008533897225724081,-2.359426394287815,0.01832318558110435,**,cluster_year,year clustered,-0.003686334971164264,-0.00034068550093832757,0.00022702339909974611
reproduced_sensitivity,Median split,AEM_w,CEO_age_w,Young CEO,5749,1820,7112523.683835314,7.112523683835314,3660131.3135707434,1.9432427622102149,0.05205847084535686,*,cluster_year,year clustered,-63422.08049398288,14288469.44816461,0.03335581689719069
reproduced_sensitivity,Median split,AEM_w,CEO_age_w,Senior CEO,6780,1924,13187270.380944721,13.187270380944721,9055519.584977513,1.4562687714597293,0.14538321208878302,,cluster_year,year clustered,-4565662.336321685,30940203.09821113,0.020274177715243757
reproduced_sensitivity,Median split,REM,CEO_age_w,Young CEO,5749,1820,-0.0020902657097639434,,0.002145400828920669,-0.9743007840709823,0.32996745583721765,,cluster_year,year clustered,-0.006296475452567554,0.0021159440330396667,0.004669239297651617
reproduced_sensitivity,Median split,REM,CEO_age_w,Senior CEO,6780,1924,-0.000793208988987227,,0.0035161494109579167,-0.22559023985591395,0.8215296592979018,,cluster_year,year clustered,-0.007686459379626939,0.006100041401652484,0.0024429319944487826
reproduced_sensitivity,Ownership,AEM_w,CEO_age_w,Non-SOE,11093,2460,4889577.17444976,4.88957717444976,2374670.4868612,2.0590550147918507,0.039518956062762456,**,cluster_year,year clustered,234654.62902644463,9544499.719873074,0.05187098569738613
reproduced_sensitivity,Ownership,AEM_w,CEO_age_w,SOE,1436,484,5311495.696258628,5.3114956962586275,5563124.620824486,0.9547684185207835,0.33994159562846527,,cluster_year,year clustered,-5606160.876131483,16229152.26864874,0.025128078013198274
reproduced_sensitivity,Ownership,REM,CEO_age_w,Non-SOE,11093,2460,-0.002298213674176366,,0.0010007524116756115,-2.296485771469037,0.021672002267066892,**,cluster_year,year clustered,-0.004259927936963616,-0.000336499411389116,-7.868394812193813e-05
